symbol,name,price
NVDA,NVIDIA Corporation,189.73
GGOOGL,Alphabet Inc.,323.13
GOOG,Alphabet Inc.,323.69
AAPL,Apple Inc.,261.89
MSFT,Microsoft Corporation,486.63
AMZN,"Amazon.com, Inc.",243.63
TTSM,Taiwan Semiconductor Manufacturing Company Limited,319.52
AVGO,Broadcom Inc.,346.75
MMETA,"Meta Platforms, Inc.",650.67
TSLA,"Tesla, Inc.",434.87
JJPM,JPMorgan Chase & Co.,326.50
BBRK-A,Berkshire Hathaway Inc.,"740,953.25"
BBRK-B,Berkshire Hathaway Inc.,494.06
LLLY,Eli Lilly and Company,"1,103.25"
WMT,Walmart Inc.,113.53
TTCEHY,Tencent Holdings Limited,79.73
TTCTZF,Tencent Holdings Limited,79.60
V,Visa Inc.,355.84
SSFTBY,SoftBank Group Corp.,59.00
BAC,Bank of America Corporation,55.78
ORCL,Oracle Corporation,193.46
MA,Mastercard Incorporated,583.78
XXOM,Exxon Mobil Corporation,119.14
JJNJ,Johnson & Johnson,206.69
AASMLF,ASML Holding N.V.,"1,230.00"
