symbol,name,price
AAAPL.CL,Apple Inc.,"986,540.00"
IISBTR.IS,Türkiye Is Bankasi A.S.,"440,000.00"
AAMZN.CL,"Amazon.com, Inc.","912,840.00"
NNVDA.BA,NVIDIA Corporation,"12,120.00"
GGOOGL.BA,Alphabet Inc.,"8,515.00"
AAAPL.BA,Apple Inc.,"20,080.00"
MMSFT.BA,Microsoft Corporation,"24,810.00"
BBABA.BA,Alibaba Group Holding Limited,"25,120.00"
NNVDACL.SN,NVIDIA CORP,"170,640.00"
CC.BA,Citigroup Inc.,"62,000.00"
BBRKB.CL,Berkshire Hathaway Inc.,"1,852,460.00"
AAMZN.BA,"Amazon.com, Inc.","2,582.50"
TTSLA.BA,"Tesla, Inc.","44,640.00"
TTSM.BA,Taiwan Semiconductor Manufacturing Company Limited,"54,550.00"
LLLY.BA,Eli Lilly and Company,"30,120.00"
BBAC.CL,Bank of America Corporation,"210,500.00"
BBRKB.BA,Berkshire Hathaway Inc.,"34,460.00"
MMETACL.SN,"Meta Platforms, Inc.","582,794.00"
TTM.BA,Toyota Motor Corporation,"21,810.00"
TTSLACL.SN,TESLA INC,"394,200.00"
VVIC.VN,Vingroup Joint Stock Company,"179,000.00"
WWMT.BA,Walmart Inc.,"9,630.00"
BBREN.JK,PT Barito Renewables Energy Tbk,"9,600.00"
DDJNJ3.BA,Johnson & Johnson,"2,880.00"
SSAN.BA,"Banco Santander, S.A.","72,400.00"
BBABA34.SA,Alibaba Group Holding Limited,28.33
GGEOO34.SA,General Electric Company,"1,773.99"
HHOME34.SA,"The Home Depot, Inc.",67.34
AA1MD34.SA,"Advanced Micro Devices, Inc.",141.48
PPGCO34.SA,The Procter & Gamble Company,53.22
CCHVX34.SA,Chevron Corporation,83.68
UUNHH34.SA,UnitedHealth Group Incorporated,26.39
WWFCO34.SA,Wells Fargo & Company,126.50
CCSCO34.SA,"Cisco Systems, Inc.",80.49
AA1ZN34.SA,AstraZeneca PLC,84.79
CCOCA34.SA,The Coca-Cola Company,60.65
SSAPP34.SA,SAP SE,"1,313.28"
CCATP34.SA,Caterpillar Inc.,202.36
TTMCO34.SA,Toyota Motor Corporation,72.00
IIBMB34.SA,International Business Machines Corporation,"1,604.10"
HH1SB34.SA,HSBC Holdings plc,108.35
NN1VS34.SA,Novartis AG,76.08
MMRCK34.SA,"Merck & Co., Inc.",73.09
AAXPB34.SA,American Express Company,204.96
LL1RC34.SA,Lam Research Corporation,24.91
SSSFO34.SA,"Salesforce, Inc.",65.23
RRYTT34.SA,RTX Corporation,168.34
NN1VO34.SA,Novo Nordisk A/S,38.01
PPHMO34.SA,Philip Morris International Inc.,418.59
TTMOS34.SA,Thermo Fisher Scientific Inc.,69.39
AA1MT34.SA,"Applied Materials, Inc.",157.66
JJPMC34.SA,JPMorgan Chase & Co.,176.27
AABTT34.SA,Abbott Laboratories,56.89
TT1MU34.SA,"T-Mobile US, Inc.",532.12
SS2HO34.SA,Shopify Inc.,7.49
MMCDC34.SA,McDonald's Corporation,81.93
II1SR34.SA,"Intuitive Surgical, Inc.",161.66
DDISB34.SA,The Walt Disney Company,40.72
IITLC34.SA,Intel Corporation,38.21
QQCOM34.SA,QUALCOMM Incorporated,80.43
MM1UF34.SA,"Mitsubishi UFJ Financial Group, Inc.",89.55
PPEPB34.SA,"PepsiCo, Inc.",49.42
SSCHW34.SA,The Charles Schwab Corporation,69.20
GG2EV34.SA,GE VERNOVA  DRN ED,181.72
BBOEI34.SA,The Boeing Company,"1,242.00"
IINTU34.SA,Intuit Inc.,79.74
KK1LA34.SA,KLA Corporation,"1,826.35"
TTJXC34.SA,"The TJX Companies, Inc.",836.63
UU1BE34.SA,"Uber Technologies, Inc.",115.84
BBKNG34.SA,Booking Holdings Inc.,167.57
BBCSA34.SA,"Banco Santander, S.A.",63.71
AAMGN34.SA,Amgen Inc.,63.24
AATTB34.SA,AT&T Inc.,43.18
HH1DB34.SA,HDFC Bank Limited,36.26
PP1DD34.SA,PDD Holdings Inc.,65.19
VVERZ34.SA,Verizon Communications Inc.,36.07
AA1PH34.SA,Amphenol Corporation,374.07
TTEXA34.SA,Texas Instruments Incorporated,66.99
DDHER34.SA,Danaher Corporation,45.07
BBLAK34.SA,"BlackRock, Inc.",88.37
AACNB34.SA,Accenture plc,"1,428.33"
SSPGI34.SA,S&P Global Inc.,81.20
AA1NE34.SA,"Arista Networks, Inc.",176.34
NNEXT34.SA,"NextEra Energy, Inc.",106.21
NN1OW34.SA,"ServiceNow, Inc.",16.24
PPRXB31.SA,PROSUS N.V. DR1,38.05
GGILD34.SA,"Gilead Sciences, Inc.",333.40
UUBSG34.SA,UBS Group AG,255.75
SSNEC34.SA,Sony Group Corporation,135.39
BB1SX34.SA,Boston Scientific Corporation,531.58
